"Code repositories / Application","Basis Tabel"
"FMU","OnderwijsaanbodNietRegulier"
"FMU","Onderwijsproduct"
"FMU","OnderwijsProductNietRegulier"
"FMU","Onderwijsproducttype"
"FMU","Opleidingsvariant"
"FMU","Opleidingsvorm"
"FMU","Organisatieonderdeel"
"FMU","Organisatieonderdeel_PreCalculatedData"
"FMU","Product"
"FMU","Sector"
"FMU","Studentachtige"
"FMU","Studentachtige_PreCalculatedData"
"FMU","Studentachtigenaam"
"FMU","StudieOvereenkomst_intern_PreCalculatedData"
"FMU","TelefoonMedewerker"
"FMU","TelefoonnummersoortMedewerker"
"FMU","TelefoonnummersoortStudentachtige"
"FMU","TelefoonStudentachtige"
"Fontys.DatabaseTableContentEditor","Arbeidsrelatie"
"Fontys.DatabaseTableContentEditor","EUMAccount"
"Fontys.DatabaseTableContentEditor","Functie"
"Fontys.DatabaseTableContentEditor","Gebouw"
"Fontys.DatabaseTableContentEditor","Medewerker"
"Fontys.DatabaseTableContentEditor","Organisatieonderdeel"
"Fontys.DatabaseTableContentEditor","Organisatieonderdeel_PreCalculatedData"
"Fontys.DatabaseTableContentEditor","StudieOvereenkomst_intern_PreCalculatedData"
"Fontys.MMPLibrary2","Arbeidsrelatie"
"Fontys.MMPLibrary2","Functie"
"Fontys.MMPLibrary2","Medewerker"
"Fontys.MMPLibrary2","Organisatieonderdeel"
"Fontys.MMPLibrary2","Organisatieonderdeel"
"Fontys.MMPLibrary2","StudieOvereenkomst_intern_PreCalculatedData"
"FontysApi","Account"
"FontysApi","AdresGebouw"
"FontysApi","EUMAccount"
"FontysApi","Gebouw"
"FontysApi","Gebouw"
"FontysApi","GroepStudentachtige"
"FontysApi","Land"
"FontysApi","LidgroepStudentachtige"
"FontysApi","Medewerker"
"FontysApi","Medewerker_PreCalculatedData"
"FontysApi","Medewerkernaam"
"FontysApi","Organisatieonderdeel"
"FontysApi","Organisatieonderdeel_PreCalculatedData"
"FontysApi","Ruimte"
"FontysApi","Studentachtige"
"FontysApi","Studentachtige_PreCalculatedData"
"FontysApi","Studentachtigenaam"
"FontysKaart","Account"
"FontysKaart","Arbeidsrelatie"
"FontysKaart","Arbeidsrelatie"
"FontysKaart","EUMAccount"
"FontysKaart","Functie"
"FontysKaart","Functie"
"FontysKaart","Gebouw"
"FontysKaart","Gebouw"
"FontysKaart","Land"
"FontysKaart","Lesplaats"
"FontysKaart","Medewerker"
"FontysKaart","Medewerker"
"FontysKaart","Medewerker_PreCalculatedData"
"FontysKaart","Onderwijsaanbod"
"FontysKaart","OnderwijsaanbodNietRegulier"
"FontysKaart","Onderwijsproduct"
"FontysKaart","OnderwijsProductNietRegulier"
"FontysKaart","Opleidingsvariant"
"FontysKaart","Opleidingsvorm"
"FontysKaart","Organisatieonderdeel"
"FontysKaart","Organisatieonderdeel"
"FontysKaart","Organisatieonderdeel_PreCalculatedData"
"FontysKaart","Organisatieonderdeel_PreCalculatedData"
"FontysKaart","Pasfoto"
"FontysKaart","StudentachtigePasfoto"
"FontysKaart","StudieOvereenkomst"
"FontysKaart","StudieOvereenkomst_intern_PreCalculatedData"
"Formbouwer","Arbeidsrelatie"
"Formbouwer","Gebouw"
"Formbouwer","Organisatieonderdeel"
"Formbouwer","Organisatieonderdeel_PreCalculatedData"
"Formbouwer","StudieOvereenkomst_intern_PreCalculatedData"
"Fresh","Gebouw"
"Fresh","OnderwijsProductNietRegulier"
"Fresh","Organisatieonderdeel"
"Fresh","Organisatieonderdeel_PreCalculatedData"
"Gradework","Account"
"Gradework","AdresStudentachtige"
"Gradework","AdresStudentachtige"
"Gradework","Beoordelingsschaal"
"Gradework","Croho"
"Gradework","EUMAccount"
"Gradework","Gebouw"
"Gradework","IntekeningToetsmoment"
"Gradework","Lesplaats"
"Gradework","Medewerker"
"Gradework","Medewerker_PreCalculatedData"
"Gradework","Medewerkernaam"
"Gradework","Onderwijsaanbod"
"Gradework","OnderwijsaanbodNietRegulier"
"Gradework","Onderwijseenheid"
"Gradework","Onderwijsperiode"
"Gradework","Onderwijsproduct"
"Gradework","OnderwijsProductNietRegulier"
"Gradework","Onderwijsproducttype"
"Gradework","Opleidingsvariant"
"Gradework","Opleidingsvorm"
"Gradework","Organisatieonderdeel"
"Gradework","Organisatieonderdeel"
"Gradework","Organisatieonderdeel_PreCalculatedData"
"Gradework","Product"
"Gradework","Sector"
"Gradework","Studentachtige"
"Gradework","Studentachtige"
"Gradework","Studentachtige_PreCalculatedData"
"Gradework","Studentachtige_PreCalculatedData"
"Gradework","Studentachtigenaam"
"Gradework","Studentachtigenaam"
"Gradework","StudieOvereenkomst_intern_PreCalculatedData"
"Gradework","Toets"
"Gradework","Toetsmoment"
"H&F Meldpunt","AdresGebouw"
"H&F Meldpunt","Gebouw"
"H&F Meldpunt","Land"
"H&F Meldpunt","Ruimte"
"Roostercode","Account"
"Roostercode","AdresGebouw"
"Roostercode","Arbeidsrelatie"
"Roostercode","EUMAccount"
"Roostercode","Functie"
"Roostercode","Gebouw"
"Roostercode","Land"
"Roostercode","Medewerker"
"Roostercode","Medewerker_PreCalculatedData"
"Roostercode","Medewerkernaam"
"Roostercode","Organisatieonderdeel"
"Roostercode","Organisatieonderdeel_PreCalculatedData"
"Roostercode","Salarisschaal"
"Roostercode","Studentachtige"
"Roostercode","Studentachtige_PreCalculatedData"
"Roostercode","Studentachtigenaam"
"Studiekeuzecheck","AanmelddatumHogerOnderwijs"
"Studiekeuzecheck","Account"
"Studiekeuzecheck","AdresStudentachtige"
"Studiekeuzecheck","Croho"
"Studiekeuzecheck","EmailAdres"
"Studiekeuzecheck","EUMAccount"
"Studiekeuzecheck","Gebouw"
"Studiekeuzecheck","Gebouw"
"Studiekeuzecheck","Land"
"Studiekeuzecheck","Lesplaats"
